City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,12.07,54,24,0.89,US,1707514138
1,puerto natales,-51.7236,-72.4875,20.25,34,0,9.26,CL,1707514138
2,san patricio,28.017,-97.5169,26.97,58,100,2.92,US,1707514138
3,tucuma,-0.1833,-50.05,27.39,81,75,3.55,BR,1707514139
4,west island,-12.1568,96.8225,26.99,78,35,4.63,CC,1707513556
5,karratha,-20.7377,116.8463,30.11,55,3,3.74,AU,1707514139
6,berdigestyakh,62.0989,126.6992,-28.57,99,100,1.18,RU,1707514140
7,jamestown,42.097,-79.2353,15.77,58,20,5.14,US,1707513484
8,santiago del torno,-17.9833,-63.3833,26.42,49,62,4.8,BO,1707514140
9,port mathurin,-19.6833,63.4167,26.52,80,98,10.5,MU,1707514140
10,puerto ayora,-0.7393,-90.3518,30.98,89,95,3.13,EC,1707514141
11,igarka,67.4667,86.5833,-16.14,93,99,5.24,RU,1707514141
12,ola,59.5833,151.2833,-30.01,88,24,3.66,RU,1707514141
13,st. john's,47.5649,-52.7093,-1.23,95,100,6.71,CA,1707514143
14,newman,37.3138,-121.0208,13.41,75,87,3.13,US,1707514144
15,port-aux-francais,-49.35,70.2167,7.7,98,89,13.09,TF,1707514145
16,yellowknife,62.456,-114.3525,-16.44,84,75,4.12,CA,1707514156
17,grytviken,-54.2811,-36.5092,4.13,92,75,4.35,GS,1707514157
18,adamstown,-25.066,-130.1015,24.98,93,100,9.62,PN,1707514157
19,port sudan,19.6175,37.2164,23.4,69,2,3.25,SD,1707514158
20,ribeira grande,38.5167,-28.7,14.32,88,75,2.57,PT,1707514158
21,bilibino,68.0546,166.4372,-27.43,99,100,0.56,RU,1707514158
22,hawaiian paradise park,19.5933,-154.9731,24.46,81,40,3.09,US,1707514159
23,olonkinbyen,70.9221,-8.7187,-3.0,64,8,5.34,SJ,1707513923
24,orsa,54.5153,30.4053,-4.23,90,100,2.19,BY,1707514160
25,blackmans bay,-43.0167,147.3167,12.63,59,26,0.89,AU,1707514160
26,nova vicosa,-17.8919,-39.3719,23.36,92,10,2.03,BR,1707514161
27,preveza,38.95,20.75,8.95,100,20,2.06,GR,1707514161
28,margate,51.3813,1.3862,10.94,90,99,3.13,GB,1707513953
29,edinburgh of the seven seas,-37.0676,-12.3116,19.7,93,100,10.65,SH,1707514162
30,masvingo,-20.0637,30.8277,21.22,66,26,2.14,ZW,1707514162
31,stanley,54.868,-1.6985,5.85,93,100,4.63,GB,1707514163
32,la passe,45.5549,-0.8967,11.13,91,100,4.22,FR,1707514163
33,bahawalpur,29.4,71.6833,15.27,21,0,1.83,PK,1707514164
34,yokadouma,3.5167,15.05,24.89,33,62,0.41,CM,1707514164
35,minas de marcona,-15.2119,-75.1103,23.75,64,8,7.18,PE,1707514164
36,nova sintra,14.8667,-24.7167,21.55,71,0,8.49,CV,1707514165
37,udachny,66.4167,112.4,-32.53,67,99,1.16,RU,1707514165
38,crane,31.3974,-102.3501,18.15,17,100,6.58,US,1707514166
39,tutoia,-2.7619,-42.2744,27.75,80,92,6.02,BR,1707514166
40,hastings,50.8552,0.5729,11.1,88,99,9.84,GB,1707514166
41,papatowai,-46.5619,169.4708,11.18,89,96,6.86,NZ,1707514167
42,mount gambier,-37.8333,140.7667,12.94,74,35,2.5,AU,1707514168
43,invercargill,-46.4,168.35,10.57,93,100,2.68,NZ,1707514168
44,south mackay,-21.1621,149.1881,25.95,75,38,5.61,AU,1707514168
45,college,64.8569,-147.8028,-6.22,72,75,0.45,US,1707514169
46,broome,42.2506,-75.833,14.22,63,20,4.12,US,1707514169
47,kavieng,-2.5744,150.7967,27.3,82,100,3.5,PG,1707514169
48,atbasar,51.8,68.3333,-8.79,90,64,6.38,KZ,1707514170
49,valley city,46.9233,-98.0032,-1.71,100,100,10.29,US,1707514170
50,georgetown,5.4112,100.3354,26.96,75,20,2.06,MY,1707514171
51,kuraymah,18.55,31.85,19.58,19,30,4.61,SD,1707514171
52,ochsenfurt,49.6643,10.0623,11.8,95,100,2.88,DE,1707514171
53,afif,23.9065,42.9172,18.32,36,72,7.96,SA,1707514172
54,waitangi,-43.9535,-176.5597,16.57,73,0,2.68,NZ,1707514172
55,singkil,-7.9855,111.4161,24.52,91,50,0.99,ID,1707514172
56,bethel,41.3712,-73.414,11.54,67,36,1.79,US,1707514166
57,ilulissat,69.2167,-51.1,-13.99,43,40,2.57,GL,1707514173
58,awjilah,29.1081,21.2869,15.18,39,0,2.83,LY,1707514173
59,atafu village,-8.5421,-172.5159,29.31,73,100,5.54,TK,1707514174
60,juticalpa,14.65,-86.2,32.08,35,0,3.54,HN,1707514174
61,hermanus,-34.4187,19.2345,16.0,78,40,3.94,ZA,1707514175
62,vernon,50.2581,-119.2691,5.34,50,24,1.03,CA,1707514175
63,kangding,30.0513,101.9603,-3.99,59,60,3.51,CN,1707514175
64,ushuaia,-54.8,-68.3,11.81,71,75,8.23,AR,1707514176
65,tiksi,71.6872,128.8694,-23.44,100,100,2.0,RU,1707514176
66,iqaluit,63.7506,-68.5145,-28.15,63,20,4.63,CA,1707514177
67,nouadhibou,20.931,-17.0347,21.99,49,12,4.12,MR,1707514177
68,quetta,30.199,67.0097,6.61,44,0,0.89,PK,1707514178
69,kapuskasing,49.4169,-82.4331,4.05,100,100,4.12,CA,1707514178
70,thompson,55.7435,-97.8558,-14.91,78,100,3.09,CA,1707514178
71,punta arenas,-53.15,-70.9167,16.06,55,75,10.29,CL,1707514179
72,queenstown,-31.8976,26.8753,16.44,85,67,1.8,ZA,1707514179
73,port alfred,-33.5906,26.891,17.32,93,30,1.34,ZA,1707514180
74,muricay,7.8275,123.4782,23.42,95,29,1.79,PH,1707514180
75,happy valley-goose bay,53.3168,-60.3315,-0.83,59,100,2.06,CA,1707514180
